SkyId,pred_x1,pred_y1,pred_x2,pred_y2,pred_x3, pred_y3
Sky1,1190,1120,0,0,0,0
Sky2,350,3360,0,0,0,0
Sky3,2240,2310,0,0,0,0
Sky4,910,1470,0,0,0,0
Sky5,2800,3080,0,0,0,0
Sky6,2170,4130,0,0,0,0
Sky7,980,3150,0,0,0,0
Sky8,700,980,0,0,0,0
Sky9,2940,2520,0,0,0,0
Sky10,1890,3990,0,0,0,0
Sky11,2310,1680,0,0,0,0
Sky12,2800,630,0,0,0,0
Sky13,3990,3640,0,0,0,0
Sky14,2800,1750,0,0,0,0
Sky15,2100,1610,0,0,0,0
Sky16,2870,2450,0,0,0,0
Sky17,1890,2940,0,0,0,0
Sky18,2940,1050,0,0,0,0
Sky19,1680,3850,0,0,0,0
Sky20,700,70,0,0,0,0
Sky21,3080,2660,0,0,0,0
Sky22,210,2870,0,0,0,0
Sky23,3150,3500,0,0,0,0
Sky24,3360,700,0,0,0,0
Sky25,2100,1960,0,0,0,0
Sky26,4060,1750,0,0,0,0
Sky27,1260,630,0,0,0,0
Sky28,1820,1890,0,0,0,0
Sky29,1680,280,0,0,0,0
Sky30,1820,3220,0,0,0,0
Sky31,3430,140,0,0,0,0
Sky32,630,1960,0,0,0,0
Sky33,2450,2310,0,0,0,0
Sky34,3570,2170,0,0,0,0
Sky35,3500,2030,0,0,0,0
Sky36,3220,1540,0,0,0,0
Sky37,3010,1610,0,0,0,0
Sky38,2660,140,0,0,0,0
Sky39,3150,350,0,0,0,0
Sky40,2030,1330,0,0,0,0
Sky41,1470,980,3570,1610,0,0
Sky42,3990,3710,2100,3990,0,0
Sky43,280,2310,1190,2800,0,0
Sky44,3850,0,2310,980,0,0
Sky45,2660,1120,490,2380,0,0
Sky46,2870,3570,1330,1750,0,0
Sky47,3710,490,2520,2310,0,0
Sky48,560,980,140,2450,0,0
Sky49,3990,1540,1610,2800,0,0
Sky50,3150,1190,140,140,0,0
Sky51,840,210,0,4130,0,0
Sky52,3220,3920,1260,210,0,0
Sky53,3570,3710,3710,140,0,0
Sky54,1750,490,2310,2660,0,0
Sky55,3430,770,2450,4060,0,0
Sky56,980,2870,770,4130,0,0
Sky57,350,3290,3360,3010,0,0
Sky58,2240,2730,700,2520,0,0
Sky59,4130,4060,2520,2520,0,0
Sky60,1120,2870,1050,70,0,0
Sky61,2240,2450,140,2100,0,0
Sky62,3290,350,1120,630,0,0
Sky63,3150,3080,420,2590,0,0
Sky64,1750,2310,630,3220,0,0
Sky65,3360,420,2800,2940,0,0
Sky66,2590,1260,420,4130,0,0
Sky67,1680,2170,4130,2940,0,0
Sky68,3080,1890,910,910,0,0
Sky69,630,1330,2240,4130,0,0
Sky70,1540,2520,3010,3220,0,0
Sky71,2590,3080,910,3220,0,0
Sky72,630,2590,3850,2240,0,0
Sky73,3640,2660,1260,1120,0,0
Sky74,420,3080,700,2100,0,0
Sky75,2310,3640,1260,630,0,0
Sky76,840,3080,2800,70,0,0
Sky77,3990,1470,3850,3710,0,0
Sky78,2660,4060,3710,1190,0,0
Sky79,3080,3850,3220,3570,0,0
Sky80,4060,1540,2730,3220,0,0
Sky81,1470,350,2450,2100,2030,140
Sky82,980,1680,2730,1400,3150,2450
Sky83,3010,2870,70,210,3080,3990
Sky84,1260,1750,490,2380,1820,3990
Sky85,350,3430,3780,2730,280,2170
Sky86,2590,1680,3640,0,140,1120
Sky87,3850,3150,1470,3080,3850,1960
Sky88,1120,70,1890,2450,2800,3920
Sky89,1330,1400,3010,3640,630,1120
Sky90,2520,3150,4130,3920,4130,350
Sky91,770,630,0,3710,2380,280
Sky92,1960,2170,4130,2800,1330,2940
Sky93,2170,3920,2030,2170,2380,0
Sky94,280,3430,840,3920,3570,630
Sky95,2380,770,2170,2030,0,2170
Sky96,210,700,4130,3290,210,3710
Sky97,1050,3220,3150,2310,1680,3010
Sky98,3500,560,3570,0,2380,3570
Sky99,3640,210,980,2310,3920,0
Sky100,280,140,840,2730,1960,0
Sky101,2100,1960,140,3080,770,4130
Sky102,980,2590,700,4060,1750,2800
Sky103,1120,2520,1890,3500,3150,1470
Sky104,420,3640,1680,1540,700,2520
Sky105,3010,3710,1470,3640,2170,4130
Sky106,4130,3010,0,1120,1050,1960
Sky107,3920,560,4130,3990,3780,2520
Sky108,2870,2590,1820,3220,3430,2450
Sky109,1190,1820,4130,2450,1890,2170
Sky110,3570,2450,3850,2940,1470,910
Sky111,2170,1960,2520,2310,490,1540
Sky112,4060,1470,1750,3990,2450,1260
Sky113,1190,490,1820,2030,1120,3640
Sky114,2730,3430,280,3290,1540,3360
Sky115,3710,1820,140,2100,3360,4130
Sky116,350,3430,840,4130,3990,2380
Sky117,2240,350,2380,980,3150,3220
Sky118,3150,1680,1400,770,980,1750
Sky119,2940,2870,140,3290,4130,2590
Sky120,1890,490,4060,2730,3780,280
