SkyId,pred_x1,pred_y1,pred_x2,pred_y2,pred_x3, pred_y3
Sky1,1000,1000,0.0,0.0,0.0,0.0
Sky2,3500,1900,0.0,0.0,0.0,0.0
Sky3,2300,1100,0.0,0.0,0.0,0.0
Sky4,1500,1700,0.0,0.0,0.0,0.0
Sky5,3000,2000,0.0,0.0,0.0,0.0
Sky6,4100,3000,0.0,0.0,0.0,0.0
Sky7,3100,1800,0.0,0.0,0.0,0.0
Sky8,900,2900,0.0,0.0,0.0,0.0
Sky9,2600,2600,0.0,0.0,0.0,0.0
Sky10,4000,600,0.0,0.0,0.0,0.0
Sky11,3100,2100,0.0,0.0,0.0,0.0
Sky12,600,3300,0.0,0.0,0.0,0.0
Sky13,3500,1400,0.0,0.0,0.0,0.0
Sky14,1300,4000,0.0,0.0,0.0,0.0
Sky15,1700,0,0.0,0.0,0.0,0.0
Sky16,2500,1500,0.0,0.0,0.0,0.0
Sky17,2900,3600,0.0,0.0,0.0,0.0
Sky18,1100,3900,0.0,0.0,0.0,0.0
Sky19,3800,2200,0.0,0.0,0.0,0.0
Sky20,1200,3000,0.0,0.0,0.0,0.0
Sky21,2600,2100,0.0,0.0,0.0,0.0
Sky22,3100,1300,0.0,0.0,0.0,0.0
Sky23,3600,100,0.0,0.0,0.0,0.0
Sky24,800,2100,0.0,0.0,0.0,0.0
Sky25,2800,2600,0.0,0.0,0.0,0.0
Sky26,1700,2900,0.0,0.0,0.0,0.0
Sky27,700,2900,0.0,0.0,0.0,0.0
Sky28,1800,3500,0.0,0.0,0.0,0.0
Sky29,200,900,0.0,0.0,0.0,0.0
Sky30,3300,2800,0.0,0.0,0.0,0.0
Sky31,0,4100,0.0,0.0,0.0,0.0
Sky32,2100,2700,0.0,0.0,0.0,0.0
Sky33,2300,200,0.0,0.0,0.0,0.0
Sky34,2000,1300,0.0,0.0,0.0,0.0
Sky35,2100,2400,0.0,0.0,0.0,0.0
Sky36,1500,3700,0.0,0.0,0.0,0.0
Sky37,1600,1600,0.0,0.0,0.0,0.0
Sky38,100,2500,0.0,0.0,0.0,0.0
Sky39,4000,2800,0.0,0.0,0.0,0.0
Sky40,1400,400,0.0,0.0,0.0,0.0
Sky41,1400,900,0.0,0.0,0.0,0.0
Sky42,2300,3900,0.0,0.0,0.0,0.0
Sky43,1400,1800,0.0,0.0,0.0,0.0
Sky44,3600,3100,0.0,0.0,0.0,0.0
Sky45,900,3400,0.0,0.0,0.0,0.0
Sky46,3200,1900,0.0,0.0,0.0,0.0
Sky47,3300,2200,0.0,0.0,0.0,0.0
Sky48,2000,3000,0.0,0.0,0.0,0.0
Sky49,2100,3800,0.0,0.0,0.0,0.0
Sky50,2400,1000,0.0,0.0,0.0,0.0
Sky51,500,900,0.0,0.0,0.0,0.0
Sky52,1400,2100,0.0,0.0,0.0,0.0
Sky53,2100,1500,0.0,0.0,0.0,0.0
Sky54,1200,300,0.0,0.0,0.0,0.0
Sky55,2400,3000,0.0,0.0,0.0,0.0
Sky56,0,4100,0.0,0.0,0.0,0.0
Sky57,0,1100,0.0,0.0,0.0,0.0
Sky58,2300,3600,0.0,0.0,0.0,0.0
Sky59,700,3800,0.0,0.0,0.0,0.0
Sky60,2900,4100,0.0,0.0,0.0,0.0
Sky61,3300,800,0.0,0.0,0.0,0.0
Sky62,1000,3300,0.0,0.0,0.0,0.0
Sky63,400,2200,0.0,0.0,0.0,0.0
Sky64,3300,800,0.0,0.0,0.0,0.0
Sky65,2700,1700,0.0,0.0,0.0,0.0
Sky66,4100,1600,0.0,0.0,0.0,0.0
Sky67,2000,3800,0.0,0.0,0.0,0.0
Sky68,3300,1200,0.0,0.0,0.0,0.0
Sky69,1100,3000,0.0,0.0,0.0,0.0
Sky70,2700,1500,0.0,0.0,0.0,0.0
Sky71,3300,300,0.0,0.0,0.0,0.0
Sky72,3600,3500,0.0,0.0,0.0,0.0
Sky73,1700,1300,0.0,0.0,0.0,0.0
Sky74,2200,3200,0.0,0.0,0.0,0.0
Sky75,3000,900,0.0,0.0,0.0,0.0
Sky76,1000,3700,0.0,0.0,0.0,0.0
Sky77,1900,2100,0.0,0.0,0.0,0.0
Sky78,700,1600,0.0,0.0,0.0,0.0
Sky79,3200,500,0.0,0.0,0.0,0.0
Sky80,2800,100,0.0,0.0,0.0,0.0
Sky81,600,1300,0.0,0.0,0.0,0.0
Sky82,4000,3700,0.0,0.0,0.0,0.0
Sky83,2400,2300,0.0,0.0,0.0,0.0
Sky84,3100,3900,0.0,0.0,0.0,0.0
Sky85,1800,2500,0.0,0.0,0.0,0.0
Sky86,200,3200,0.0,0.0,0.0,0.0
Sky87,3400,3100,0.0,0.0,0.0,0.0
Sky88,1700,400,0.0,0.0,0.0,0.0
Sky89,3400,2300,0.0,0.0,0.0,0.0
Sky90,500,1900,0.0,0.0,0.0,0.0
Sky91,800,3000,0.0,0.0,0.0,0.0
Sky92,2700,3400,0.0,0.0,0.0,0.0
Sky93,2000,2300,0.0,0.0,0.0,0.0
Sky94,4100,3700,0.0,0.0,0.0,0.0
Sky95,3600,3500,0.0,0.0,0.0,0.0
Sky96,3400,3100,0.0,0.0,0.0,0.0
Sky97,500,0,0.0,0.0,0.0,0.0
Sky98,2900,3800,0.0,0.0,0.0,0.0
Sky99,3300,2600,0.0,0.0,0.0,0.0
Sky100,3800,900,0.0,0.0,0.0,0.0
Sky101,3600,300,3800,4100,0.0,0.0
Sky102,100,800,2800,0,0.0,0.0
Sky103,1800,2500,2500,2200,0.0,0.0
Sky104,500,2500,4100,1100,0.0,0.0
Sky105,1200,2800,4100,3700,0.0,0.0
Sky106,500,3200,1300,0,0.0,0.0
Sky107,3800,3200,2900,3600,0.0,0.0
Sky108,1800,1200,1800,2300,0.0,0.0
Sky109,400,1200,2200,700,0.0,0.0
Sky110,500,1800,1300,0,0.0,0.0
Sky111,4100,2500,100,0,0.0,0.0
Sky112,700,700,3900,4100,0.0,0.0
Sky113,1400,600,200,2200,0.0,0.0
Sky114,1700,2100,1400,1100,0.0,0.0
Sky115,3300,2300,3700,100,0.0,0.0
Sky116,3300,3500,400,4000,0.0,0.0
Sky117,2900,1300,2700,1000,0.0,0.0
Sky118,0,2100,4100,3900,0.0,0.0
Sky119,1900,1200,0,4100,0.0,0.0
Sky120,800,1600,1800,3400,0.0,0.0
Sky121,2800,3400,400,0,0.0,0.0
Sky122,1800,2200,1500,3800,0.0,0.0
Sky123,3400,600,1600,0,0.0,0.0
Sky124,2300,3700,2500,4100,0.0,0.0
Sky125,2100,2000,200,3000,0.0,0.0
Sky126,200,3000,1900,1400,0.0,0.0
Sky127,2500,3700,4100,2600,0.0,0.0
Sky128,3100,1500,3900,4100,0.0,0.0
Sky129,3600,1700,2400,1300,0.0,0.0
Sky130,1200,3200,2600,4100,0.0,0.0
Sky131,2200,3900,1300,3900,0.0,0.0
Sky132,4100,2000,1400,0,0.0,0.0
Sky133,2300,2400,2600,2100,0.0,0.0
Sky134,2000,2800,1500,4100,0.0,0.0
Sky135,700,4100,2400,0,0.0,0.0
Sky136,3100,4000,4000,3100,0.0,0.0
Sky137,3400,1500,0,3200,0.0,0.0
Sky138,2200,1900,2800,3000,0.0,0.0
Sky139,2300,2000,2800,2000,0.0,0.0
Sky140,1900,4000,2600,2800,0.0,0.0
Sky141,800,2500,100,0,0.0,0.0
Sky142,3400,2800,3600,0,0.0,0.0
Sky143,800,2600,1200,2000,0.0,0.0
Sky144,2100,800,1900,3400,0.0,0.0
Sky145,3200,2400,200,0,0.0,0.0
Sky146,3000,200,2000,3900,0.0,0.0
Sky147,1400,3000,1800,1300,0.0,0.0
Sky148,3100,1400,0,700,0.0,0.0
Sky149,1300,700,4100,3700,0.0,0.0
Sky150,0,4100,4100,0,0.0,0.0
Sky151,1100,3500,1300,0,0.0,0.0
Sky152,100,3600,4100,200,0.0,0.0
Sky153,1800,400,2400,4100,0.0,0.0
Sky154,1500,3200,1200,0,0.0,0.0
Sky155,400,900,500,4100,0.0,0.0
Sky156,2500,3500,1100,2800,0.0,0.0
Sky157,1600,2500,0,4100,0.0,0.0
Sky158,1500,4100,4100,100,0.0,0.0
Sky159,600,2200,700,0,0.0,0.0
Sky160,900,1800,1800,4100,0.0,0.0
Sky161,4100,3000,0,1400,0.0,0.0
Sky162,1500,2200,1900,3000,0.0,0.0
Sky163,900,400,2800,1600,0.0,0.0
Sky164,3300,2500,4000,3500,0.0,0.0
Sky165,1600,2500,0,2900,0.0,0.0
Sky166,700,1900,1700,0,0.0,0.0
Sky167,3100,2700,100,200,0.0,0.0
Sky168,2900,3600,0,3700,0.0,0.0
Sky169,4000,2200,0,1400,0.0,0.0
Sky170,2000,1500,1700,4100,0.0,0.0
Sky171,1500,700,4000,4100,0.0,0.0
Sky172,2800,1300,2700,2000,0.0,0.0
Sky173,1000,2800,2100,3500,0.0,0.0
Sky174,2500,3500,4000,1200,0.0,0.0
Sky175,2000,1900,0,0,0.0,0.0
Sky176,4100,1600,0,2500,0.0,0.0
Sky177,200,1400,4100,3500,0.0,0.0
Sky178,100,3200,4100,2700,0.0,0.0
Sky179,900,3500,1100,0,0.0,0.0
Sky180,3600,3400,3900,1400,0.0,0.0
Sky181,4100,800,0,4100,0.0,0.0
Sky182,2500,400,0,1100,0.0,0.0
Sky183,3600,2600,4100,0,0.0,0.0
Sky184,3400,0,100,4100,0.0,0.0
Sky185,1000,2200,2500,600,0.0,0.0
Sky186,1600,2300,4100,4100,0.0,0.0
Sky187,900,100,4100,4100,0.0,0.0
Sky188,900,600,4100,300,0.0,0.0
Sky189,1900,3900,3400,3300,0.0,0.0
Sky190,3900,1500,3300,100,0.0,0.0
Sky191,2400,400,200,1100,0.0,0.0
Sky192,2200,2800,1300,3200,0.0,0.0
Sky193,0,1700,3500,4100,0.0,0.0
Sky194,1700,1300,2300,3600,0.0,0.0
Sky195,3700,3300,0,1800,0.0,0.0
Sky196,700,2100,800,4100,0.0,0.0
Sky197,4000,3900,700,2300,0.0,0.0
Sky198,2600,3700,0,3900,0.0,0.0
Sky199,2300,0,3900,1500,0.0,0.0
Sky200,3400,2900,3000,1800,0.0,0.0
Sky201,2100,300,4000,100,4100,4100
Sky202,200,3500,3700,0,0,3600
Sky203,100,1700,1700,3600,4100,2700
Sky204,3000,2400,400,3500,0,4100
Sky205,2900,800,100,3800,4100,2000
Sky206,2200,1200,800,600,4100,0
Sky207,1400,2800,3600,2700,100,0
Sky208,3900,900,100,300,0,4000
Sky209,0,3500,4000,0,400,3900
Sky210,2500,500,800,4100,3400,0
Sky211,4000,3600,0,200,3500,4000
Sky212,3000,2900,3900,1600,300,0
Sky213,1500,400,4000,800,700,4100
Sky214,2200,3400,0,3400,3300,2400
Sky215,3800,4000,1200,0,100,0
Sky216,3200,1400,2600,2500,3000,4100
Sky217,3700,2200,2000,3000,3900,100
Sky218,3900,2600,3400,0,700,0
Sky219,2500,2400,1600,1900,100,200
Sky220,2000,3400,2500,1400,0,3600
Sky221,2500,1900,300,100,3700,1600
Sky222,3500,4000,4100,700,200,1800
Sky223,2800,4100,0,1800,3500,4100
Sky224,3200,3900,300,1500,4100,3200
Sky225,1300,1300,1800,1800,1200,4100
Sky226,3300,3700,200,3000,3800,0
Sky227,1900,300,3000,1700,0,0
Sky228,3000,800,3800,1900,2300,4100
Sky229,4000,3200,600,3100,0,4000
Sky230,300,1300,2900,3900,0,0
Sky231,2900,3900,4100,0,700,4100
Sky232,3700,4000,300,0,0,2200
Sky233,400,1100,4100,200,0,2600
Sky234,3000,1600,2500,2000,0,3900
Sky235,1300,400,3400,4100,0,900
Sky236,400,2000,2800,0,300,4100
Sky237,1900,3000,2800,2800,0,1400
Sky238,600,900,4000,2800,3900,4000
Sky239,1100,500,2400,2800,4100,1400
Sky240,700,3000,2500,4000,4100,1600
Sky241,1600,3200,0,0,2600,4100
Sky242,1800,200,1100,4100,2500,0
Sky243,1400,2700,1200,600,3500,3100
Sky244,1800,300,3000,2800,4100,3500
Sky245,4100,100,0,4000,500,1100
Sky246,2200,2200,2200,2900,4100,100
Sky247,3900,3100,1400,200,4100,4100
Sky248,2100,1800,300,0,3700,1100
Sky249,4000,3800,800,4100,700,1300
Sky250,3100,1800,0,100,2900,3500
Sky251,600,1200,4100,1600,500,200
Sky252,100,300,3200,1700,600,4100
Sky253,2200,1700,4100,4100,2500,900
Sky254,3200,4100,200,3800,4100,2300
Sky255,400,100,4000,4100,2400,3900
Sky256,1800,1700,100,2000,400,4000
Sky257,1200,1700,3600,4100,400,700
Sky258,4100,600,0,2700,600,3900
Sky259,4100,3200,1500,3100,1100,0
Sky260,2500,3700,0,2100,300,0
Sky261,300,3700,1000,1900,4000,2000
Sky262,1500,1200,0,4100,3700,0
Sky263,700,1000,500,4100,4100,0
Sky264,900,4100,3600,1800,3300,0
Sky265,4000,3100,2200,0,4100,4100
Sky266,500,100,2100,2000,200,4100
Sky267,700,600,4100,4100,0,0
Sky268,900,1500,300,1700,0,3900
Sky269,3900,1000,2000,3500,3700,0
Sky270,400,800,600,4100,3200,0
Sky271,700,4000,4000,0,1900,0
Sky272,2200,3000,1500,3400,3800,2200
Sky273,2800,4100,4100,1200,700,3800
Sky274,3200,0,1800,200,0,4100
Sky275,2500,3800,1900,0,1000,4100
Sky276,3800,3200,2700,2400,2900,0
Sky277,3600,600,0,4100,900,700
Sky278,3700,4000,400,400,2400,4100
Sky279,2500,2500,1600,2000,1000,0
Sky280,3800,600,0,1500,3900,2600
Sky281,1900,2800,2400,2500,4100,1100
Sky282,1700,2800,3500,4000,2300,900
Sky283,3300,4100,800,0,4100,2600
Sky284,1800,3500,3700,700,1700,0
Sky285,1500,1200,1800,2600,600,4100
Sky286,1200,3300,4100,0,900,4000
Sky287,2200,4100,3900,3000,700,0
Sky288,3100,3800,3800,100,1400,0
Sky289,2400,2000,0,3700,2800,1700
Sky290,1900,2800,4100,1300,1700,0
Sky291,2600,3000,0,2900,1300,100
Sky292,4100,2300,400,0,3400,4000
Sky293,3500,600,2500,4100,1500,0
Sky294,3000,600,2900,4100,2000,0
Sky295,2000,3600,2500,2900,3800,1000
Sky296,800,1200,3100,0,100,800
Sky297,2800,400,800,0,4000,100
