SkyId,pred_x1,pred_y1,pred_x2,pred_y2,pred_x3, pred_y3
Sky1,1848.0,168.0,0,0,0,0
Sky2,3864.0,2688.0,0,0,0,0
Sky3,2016.0,2184.0,0,0,0,0
Sky4,1680.0,1680.0,0,0,0,0
Sky5,2520.0,3696.0,0,0,0,0
Sky6,504.0,168.0,0,0,0,0
Sky7,840.0,3192.0,0,0,0,0
Sky8,504.0,1008.0,0,0,0,0
Sky9,4032.0,2016.0,0,0,0,0
Sky10,3528.0,840.0,0,0,0,0
Sky11,336.0,3024.0,0,0,0,0
Sky12,1680.0,1344.0,0,0,0,0
Sky13,3696.0,3864.0,0,0,0,0
Sky14,1176.0,336.0,0,0,0,0
Sky15,2016.0,1512.0,0,0,0,0
Sky16,4032.0,2688.0,0,0,0,0
Sky17,0.0,3864.0,0,0,0,0
Sky18,1008.0,1680.0,0,0,0,0
Sky19,840.0,504.0,0,0,0,0
Sky20,3192.0,504.0,0,0,0,0
Sky21,2016.0,1512.0,0,0,0,0
Sky22,336.0,168.0,0,0,0,0
Sky23,2856.0,3696.0,0,0,0,0
Sky24,2688.0,1008.0,0,0,0,0
Sky25,2520.0,1008.0,0,0,0,0
Sky26,1848.0,3024.0,0,0,0,0
Sky27,3192.0,2688.0,0,0,0,0
Sky28,672.0,3192.0,0,0,0,0
Sky29,1848.0,336.0,0,0,0,0
Sky30,1008.0,1680.0,0,0,0,0
Sky31,168.0,3864.0,0,0,0,0
Sky32,672.0,2352.0,0,0,0,0
Sky33,2352.0,2352.0,0,0,0,0
Sky34,840.0,2352.0,0,0,0,0
Sky35,168.0,840.0,0,0,0,0
Sky36,672.0,3696.0,0,0,0,0
Sky37,2688.0,1512.0,0,0,0,0
Sky38,3696.0,504.0,0,0,0,0
Sky39,336.0,1176.0,0,0,0,0
Sky40,672.0,1008.0,0,0,0,0
Sky41,2184.0,2688.0,0,0,0,0
Sky42,1176.0,1680.0,0,0,0,0
Sky43,1176.0,2856.0,0,0,0,0
Sky44,3360.0,504.0,0,0,0,0
Sky45,3192.0,4032.0,0,0,0,0
Sky46,840.0,2016.0,0,0,0,0
Sky47,3192.0,504.0,0,0,0,0
Sky48,1848.0,2520.0,0,0,0,0
Sky49,4032.0,1512.0,0,0,0,0
Sky50,3192.0,1008.0,0,0,0,0
Sky51,2016.0,3864.0,0,0,0,0
Sky52,2016.0,168.0,0,0,0,0
Sky53,3528.0,3024.0,0,0,0,0
Sky54,504.0,0.0,0,0,0,0
Sky55,1512.0,3024.0,0,0,0,0
Sky56,1344.0,3864.0,0,0,0,0
Sky57,3528.0,1680.0,0,0,0,0
Sky58,504.0,1176.0,0,0,0,0
Sky59,1848.0,3864.0,0,0,0,0
Sky60,840.0,2856.0,0,0,0,0
Sky61,1680.0,1008.0,0,0,0,0
Sky62,1344.0,3864.0,0,0,0,0
Sky63,3024.0,2016.0,0,0,0,0
Sky64,2856.0,2016.0,0,0,0,0
Sky65,2352.0,3024.0,0,0,0,0
Sky66,3192.0,3192.0,0,0,0,0
Sky67,3192.0,336.0,0,0,0,0
Sky68,2520.0,2520.0,0,0,0,0
Sky69,168.0,2016.0,0,0,0,0
Sky70,3024.0,4032.0,0,0,0,0
Sky71,2184.0,2856.0,0,0,0,0
Sky72,1680.0,504.0,0,0,0,0
Sky73,3360.0,2856.0,0,0,0,0
Sky74,1680.0,3192.0,0,0,0,0
Sky75,1176.0,4032.0,0,0,0,0
Sky76,4032.0,4032.0,0,0,0,0
Sky77,3528.0,168.0,0,0,0,0
Sky78,3528.0,1176.0,0,0,0,0
Sky79,3864.0,3696.0,0,0,0,0
Sky80,840.0,3696.0,0,0,0,0
Sky81,2856.0,3024.0,0,0,0,0
Sky82,1512.0,840.0,0,0,0,0
Sky83,4032.0,0.0,0,0,0,0
Sky84,1512.0,504.0,0,0,0,0
Sky85,336.0,3192.0,0,0,0,0
Sky86,1848.0,3696.0,0,0,0,0
Sky87,504.0,3024.0,0,0,0,0
Sky88,1344.0,336.0,0,0,0,0
Sky89,1512.0,672.0,0,0,0,0
Sky90,168.0,336.0,0,0,0,0
Sky91,504.0,672.0,0,0,0,0
Sky92,2688.0,2688.0,0,0,0,0
Sky93,672.0,2688.0,0,0,0,0
Sky94,168.0,2856.0,0,0,0,0
Sky95,1008.0,1176.0,0,0,0,0
Sky96,2016.0,336.0,0,0,0,0
Sky97,672.0,504.0,0,0,0,0
Sky98,3864.0,1008.0,0,0,0,0
Sky99,1512.0,1680.0,0,0,0,0
Sky100,3528.0,2856.0,0,0,0,0
Sky101,2856.0,336.0,0,0,0,0
Sky102,3696.0,2520.0,0,0,0,0
Sky103,3024.0,1344.0,0,0,0,0
Sky104,2352.0,2856.0,0,0,0,0
Sky105,1680.0,1680.0,0,0,0,0
Sky106,4032.0,3024.0,0,0,0,0
Sky107,3864.0,2688.0,0,0,0,0
Sky108,2688.0,504.0,0,0,0,0
Sky109,1344.0,1176.0,0,0,0,0
Sky110,1680.0,1176.0,0,0,0,0
Sky111,1008.0,1512.0,0,0,0,0
Sky112,336.0,672.0,0,0,0,0
Sky113,1008.0,672.0,0,0,0,0
Sky114,2856.0,3528.0,0,0,0,0
Sky115,2352.0,1848.0,0,0,0,0
Sky116,3360.0,3528.0,0,0,0,0
Sky117,336.0,3696.0,0,0,0,0
Sky118,0.0,2520.0,0,0,0,0
Sky119,3192.0,3024.0,0,0,0,0
Sky120,1680.0,504.0,0,0,0,0
