SkyId,pred_x1,pred_y1,pred_x2,pred_y2,pred_x3, pred_y3
Sky1,840.0,840.0,0,0,0,0
Sky2,420.0,3780.0,0,0,0,0
Sky3,420.0,1260.0,0,0,0,0
Sky4,2520.0,3780.0,0,0,0,0
Sky5,2940.0,420.0,0,0,0,0
Sky6,3780.0,2940.0,0,0,0,0
Sky7,3780.0,2940.0,0,0,0,0
Sky8,2520.0,420.0,0,0,0,0
Sky9,0.0,3360.0,0,0,0,0
Sky10,3780.0,420.0,0,0,0,0
Sky11,2520.0,840.0,0,0,0,0
Sky12,420.0,1680.0,0,0,0,0
Sky13,3360.0,1260.0,0,0,0,0
Sky14,1260.0,2100.0,0,0,0,0
Sky15,2100.0,0.0,0,0,0,0
Sky16,2940.0,420.0,0,0,0,0
Sky17,0.0,3780.0,0,0,0,0
Sky18,2520.0,2940.0,0,0,0,0
Sky19,2100.0,2100.0,0,0,0,0
Sky20,2100.0,0.0,0,0,0,0
Sky21,420.0,0.0,0,0,0,0
Sky22,2520.0,840.0,0,0,0,0
Sky23,1680.0,420.0,0,0,0,0
Sky24,3360.0,1680.0,0,0,0,0
Sky25,1680.0,420.0,0,0,0,0
Sky26,2520.0,0.0,0,0,0,0
Sky27,420.0,2520.0,0,0,0,0
Sky28,3780.0,2100.0,0,0,0,0
Sky29,3780.0,2520.0,0,0,0,0
Sky30,2940.0,3780.0,0,0,0,0
Sky31,3780.0,2100.0,0,0,0,0
Sky32,1680.0,3780.0,0,0,0,0
Sky33,3780.0,2100.0,0,0,0,0
Sky34,840.0,2940.0,0,0,0,0
Sky35,2100.0,420.0,0,0,0,0
Sky36,0.0,3780.0,0,0,0,0
Sky37,3360.0,0.0,0,0,0,0
Sky38,3360.0,2520.0,0,0,0,0
Sky39,3780.0,3780.0,0,0,0,0
Sky40,0.0,420.0,0,0,0,0
Sky41,2520.0,0.0,0,0,0,0
Sky42,3780.0,840.0,0,0,0,0
Sky43,840.0,2940.0,0,0,0,0
Sky44,3360.0,1680.0,0,0,0,0
Sky45,840.0,2520.0,0,0,0,0
Sky46,2940.0,1680.0,0,0,0,0
Sky47,3780.0,1680.0,0,0,0,0
Sky48,1680.0,3780.0,0,0,0,0
Sky49,1680.0,1680.0,0,0,0,0
Sky50,2100.0,840.0,0,0,0,0
Sky51,1680.0,3360.0,0,0,0,0
Sky52,3360.0,3780.0,0,0,0,0
Sky53,2100.0,2520.0,0,0,0,0
Sky54,840.0,1680.0,0,0,0,0
Sky55,1680.0,2520.0,0,0,0,0
Sky56,840.0,2520.0,0,0,0,0
Sky57,840.0,2520.0,0,0,0,0
Sky58,3360.0,1260.0,0,0,0,0
Sky59,3360.0,2520.0,0,0,0,0
Sky60,1680.0,840.0,0,0,0,0
Sky61,840.0,2100.0,0,0,0,0
Sky62,0.0,0.0,0,0,0,0
Sky63,840.0,1260.0,0,0,0,0
Sky64,2940.0,1260.0,0,0,0,0
Sky65,2520.0,1680.0,0,0,0,0
