SkyId,pred_x1,pred_y1,pred_x2,pred_y2,pred_x3, pred_y3
Sky1,1190,1120,1120,1120,0.0,0.0
Sky2,350,3360,420,3360,0.0,0.0
Sky3,2240,2310,2310,2310,0.0,0.0
Sky4,910,1470,910,1400,840,1400
Sky5,2800,3080,0.0,0.0,0.0,0.0
Sky6,2170,4130,2240,4130,2380,4130
Sky7,980,3150,910,3150,0.0,0.0
Sky8,700,980,770,980,700,1050
Sky9,2940,2520,2870,2590,0.0,0.0
Sky10,1890,3990,1890,4060,1820,4060
Sky11,2310,1680,0.0,0.0,0.0,0.0
Sky12,2800,630,0.0,0.0,0.0,0.0
Sky13,3990,3640,3990,3570,0.0,0.0
Sky14,2800,1750,2800,1680,0.0,0.0
Sky15,2100,1610,0.0,0.0,0.0,0.0
Sky16,2870,2450,2870,2520,2940,2450
Sky17,1890,2940,1820,2940,1820,3010
Sky18,2940,1050,0.0,0.0,0.0,0.0
Sky19,1680,3850,0.0,0.0,0.0,0.0
Sky20,700,70,630,140,630,70
Sky21,3080,2660,3150,2660,3080,2590
Sky22,210,2870,140,2870,0.0,0.0
Sky23,3150,3500,3220,3500,0.0,0.0
Sky24,3360,700,3360,770,3430,770
Sky25,2100,1960,2100,2030,2100,1890
Sky26,4060,1750,4060,1820,0.0,0.0
Sky27,1260,630,1260,560,1330,630
Sky28,1820,1890,0.0,0.0,0.0,0.0
Sky29,1680,280,1680,210,0.0,0.0
Sky30,1820,3220,1820,3290,0.0,0.0
Sky31,3430,140,3430,210,3500,70
Sky32,630,1960,630,2030,560,1960
Sky33,2450,2310,0.0,0.0,0.0,0.0
Sky34,3570,2170,0.0,0.0,0.0,0.0
Sky35,3500,2030,3500,1960,0.0,0.0
Sky36,3220,1540,0.0,0.0,0.0,0.0
Sky37,3010,1610,3010,1680,3080,1610
Sky38,2660,140,0.0,0.0,0.0,0.0
Sky39,3150,350,3220,350,3570,210
Sky40,2030,1330,1960,1400,0.0,0.0
Sky41,1470,980,1400,910,1470,910
Sky42,3990,3710,3990,3780,3920,3710
Sky43,280,2310,210,2380,0.0,0.0
Sky44,3850,0,3920,0,3850,70
Sky45,2660,1120,2730,1120,0.0,0.0
Sky46,2870,3570,0.0,0.0,0.0,0.0
Sky47,3710,490,0.0,0.0,0.0,0.0
Sky48,560,980,560,1050,490,980
Sky49,3990,1540,0.0,0.0,0.0,0.0
Sky50,3150,1190,0.0,0.0,0.0,0.0
Sky51,840,210,910,350,910,280
Sky52,3220,3920,3150,3920,0.0,0.0
Sky53,3570,3710,0.0,0.0,0.0,0.0
Sky54,1750,490,0.0,0.0,0.0,0.0
Sky55,3430,770,0.0,0.0,0.0,0.0
Sky56,980,2870,980,2940,0.0,0.0
Sky57,350,3290,0.0,0.0,0.0,0.0
Sky58,2240,2730,2240,2660,2240,2800
Sky59,4130,4060,4130,4130,4130,3990
Sky60,1120,2870,1120,2800,1050,2870
Sky61,2240,2450,2310,2450,2240,2520
Sky62,3290,350,3220,350,3220,420
Sky63,3150,3080,3150,3010,0.0,0.0
Sky64,1750,2310,1750,2380,1820,2310
Sky65,3360,420,0.0,0.0,0.0,0.0
Sky66,2590,1260,2590,1190,2660,1260
Sky67,1680,2170,1750,2170,0.0,0.0
Sky68,3080,1890,0.0,0.0,0.0,0.0
Sky69,630,1330,0.0,0.0,0.0,0.0
Sky70,1540,2520,1610,2590,0.0,0.0
Sky71,2590,3080,0.0,0.0,0.0,0.0
Sky72,630,2590,700,2590,0.0,0.0
Sky73,3640,2660,0.0,0.0,0.0,0.0
Sky74,420,3080,350,3080,350,3010
Sky75,2310,3640,2310,3710,0.0,0.0
Sky76,840,3080,770,3080,0.0,0.0
Sky77,3990,1470,0.0,0.0,0.0,0.0
Sky78,2660,4060,2730,4060,0.0,0.0
Sky79,3080,3850,0.0,0.0,0.0,0.0
Sky80,4060,1540,0.0,0.0,0.0,0.0
Sky81,1470,350,0.0,0.0,0.0,0.0
Sky82,980,1680,980,1610,910,1680
Sky83,3010,2870,0.0,0.0,0.0,0.0
Sky84,1260,1750,0.0,0.0,0.0,0.0
Sky85,350,3430,280,3430,280,3500
Sky86,2590,1680,0.0,0.0,0.0,0.0
Sky87,3850,3150,0.0,0.0,0.0,0.0
Sky88,1120,70,1120,0,0.0,0.0
Sky89,1330,1400,1260,1400,1260,1470
Sky90,2520,3150,2450,3150,2590,3150
Sky91,770,630,700,630,0.0,0.0
Sky92,1960,2170,2100,1890,1960,2100
Sky93,2170,3920,2170,3850,0.0,0.0
Sky94,280,3430,0.0,0.0,0.0,0.0
Sky95,2380,770,2380,840,2310,770
Sky96,210,700,140,700,210,770
Sky97,1050,3220,1050,3290,0.0,0.0
Sky98,3500,560,3500,630,3430,560
Sky99,3640,210,3640,140,3710,210
Sky100,280,140,280,210,350,210
Sky101,2100,1960,0.0,0.0,0.0,0.0
Sky102,980,2590,0.0,0.0,0.0,0.0
Sky103,1120,2520,0.0,0.0,0.0,0.0
Sky104,420,3640,420,3570,0.0,0.0
Sky105,3010,3710,3010,3640,0.0,0.0
Sky106,4130,3010,4060,3010,4060,3080
Sky107,3920,560,0.0,0.0,0.0,0.0
Sky108,2870,2590,2870,2520,0.0,0.0
Sky109,1190,1820,1190,1750,0.0,0.0
Sky110,3570,2450,3570,2380,0.0,0.0
Sky111,2170,1960,0.0,0.0,0.0,0.0
Sky112,4060,1470,4060,1540,0.0,0.0
Sky113,1190,490,1120,490,0.0,0.0
Sky114,2730,3430,2800,3430,2800,3500
Sky115,3710,1820,0.0,0.0,0.0,0.0
Sky116,350,3430,0.0,0.0,0.0,0.0
Sky117,2240,350,2310,350,2240,280
Sky118,3150,1680,3150,1750,0.0,0.0
Sky119,2940,2870,3010,2870,2940,2940
Sky120,1890,490,1820,490,0.0,0.0
